ISO_NUMBER	ISO_REVISION	PDS_AREA	SERVICE_CLASS	LINE_NUMBER	SPOOL_NUMBER	SPOOL_WEIGHT_KG	WELD_NUMBER	WELD_TYPE	WELD_LOCATION	DIAMETER_INCH	THICKNESS_MM
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-A	210.0	W-T6-001	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-A	210.0	W-T6-002	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-A	210.0	W-T6-003	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-A	210.0	W-T6-004	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-A	210.0	W-T6-005	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-A	210.0	W-T6-006	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-B	185.5	W-T6-007	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-B	185.5	W-T6-008	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-B	185.5	W-T6-009	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-B	185.5	W-T6-010	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-B	185.5	W-T6-011	BW-T4	shop	6	6.0
ISO-T6-001	R0	PDS-T4	SC-T4	L-T6-1	SP-T6-001-B	185.5	W-T6-012	BW-T4	shop	6	6.0
